komentar,platform,clean,sentimen
Masihkalahseramsamapengabdisetanyanglama,youtube,masihkalahseramsamapengabdisetanyanglama,positif
PS : O 2027 👀,youtube,ps o,netral
Saya suka cerita seram🫣🫣🫣🫣🫣,youtube,suka cerita seram,positif
NONTON Film kantong KRESEKKKK HITAMMM.  Gak ada gambar,youtube,nonton film kantong kresekkkk hitammm gak gambar,netral
FILM TUH BIKINNYA BISA GAK. LEBIHHH GELAPPP LAGI.  BIAR PENONTON YG NONTON KAYAK NINTONG KANTONG KRESEKKKK HITAMMM CUMA BERSUARA DOANGGG.... GELAPPPPPO BANGETTTTTT,youtube,film tuh bikin gak lebihhh gelappp biar tonton yg nonton kayak nintong kantong kresekkkk hitammm suara doanggg gelapppppo bangetttttt,netral
"Filmnya main gelap2an mulu ga jelas,bagus ps 1",youtube,film main gelap mulu ga jelasbagus ps,positif
Saya ingin menonton flim ini lagi tapi kok tidak ada ya😢😢😢,youtube,tonton flim ya,netral
PS 3 Origin 2027 coming soon 😂,youtube,ps origin coming soon,netral
4000,youtube,,netral
"Saya suka film horror.. Namun secara awam saya kurang Suka film horror yg secara keseluruhan tampilan warna screenNya cenderung Kuning kecoklatan gtu, yah..mungkin itu cuma menurut saya bhwa tampilan warna tersebut bisa membuat tampilan gambar bhkn alur cerita jadi kurang nyata, (meski menurut editingnya tampilan screen tersebut ahar terlihat jadi makin horror)  menurut saya mending pake warna screen yg biasa aja layaknya film biasa bukan horror.",youtube,suka film horror awam suka film horror yg tampil warna screennya cenderung kuning coklat gtu yahmungkin bhwa tampil warna tampil gambar bhkn alur cerita nyata editingnya tampil screen ahar horror mending pake warna screen yg aja layak film horror,positif
Ratu Felicia skrg awet muda ihh ❤,youtube,ratu felicia skrg awet muda ihh,netral
Bagus film pengabdi setan 2 aku belum nonton film,youtube,bagus film abdi setan nonton film,positif
"bikin sakit mata nontonya,hidup mati lampunya...wkwkkw",youtube,bikin sakit mata nontonyahidup mati lampunyawkwkkw,netral
Gg,youtube,gg,netral
Nanti ada kelanjutannya nih,youtube,lanjut nih,netral
Salah satu Film horor yg kualitasnya ga main2. Horror serem nya dapeett dan pstinya hantunya gak alay😂,youtube,salah film horor yg kualitas ga main horror rem nya dapeett pstinya hantu gak alay,netral
"Salah satu film horror indo yg membekas bgt di ingatan..emg sebagus itu, jjur aku jrang bgtt suka sama horror indo krna menurut ku sama smua template. Tpi pengabdi setan 2 ini bnr2 keren bgtt ,serem nya ga alay gituloh ,sama kualitasnya gausa di tanya👏🏻😔",youtube,salah film horror indo yg bekas bgt ingatanemg bagus jjur jrang bgtt suka horror indo krna ku smua template tpi abdi setan bnr keren bgtt rem nya ga alay gituloh kualitas gausa,positif
👻👻 21 agustus 2025 baru nontn,youtube,agustus nontn,netral
❤❤,youtube,,netral
Pliss bikinin aku film pengabdi setan 3🎉🎉🎉❤❤❤,youtube,pliss bikinin film abdi setan,netral
Ih serem banget,youtube,ih rem banget,netral
"Aneh ,
Cahaya lampune gelap bnget ,
Wkwkw lucu,",youtube,aneh cahaya lampune gelap bnget wkwkw lucu,netral
"TEROR IBU SEPANJANG MASA!

Beberapa tahun setelah berhasil menyelamatkan diri dari kejadian mengerikan yang membuat mereka kehilangan ibu dan si bungsu Ian, Rini dan adik-adiknya, Toni dan Bondi, serta Bapak tinggal di rumah susun.

Mereka percaya tinggal di rumah susun aman, karena ada banyak orang jika terjadi sesuatu. 

Namun, mereka segera menyadari bahwa tinggal bersama banyak orang mungkin juga sangat berbahaya, jika mereka tidak sangat mengenali siapa saja yang menjadi tetangga mereka. 

Pada sebuah malam penuh teror, Rini dan Keluarganya harus kembali menyelamatkan diri",youtube,teror hasil selamat jadi keri hilang si bungsu ian rini adikadiknya ton bondi tinggal rumah susun percaya tinggal rumah susun aman orang sadar tinggal orang bahaya nali tetangga malam penuh teror rini keluarga selamat,netral
"Film PALING GA JELAS, MODAL GELAP DOANG!!
RATING -8/100",youtube,film ga modal gelap doang rating,netral
Gw kira durasinya 1jam jirr😂,youtube,gw durasi jam jirr,netral
Znznznzznbzyaoaiayalaz NNaanznznznznznnsnsnshsshshapaaoihsnznznznznznznznznnznznznzznnznznzbzhssnznznzzzl,youtube,znznznzznbzyaoaiayalaz nnaanznznznznznnsnsnshsshshapaaoihsnznznznznznznznznnznznznzznnznznzbzhssnznznzzzl,netral
Tidak takut,youtube,takut,netral
"Di tunggu Pengabdi Setan 3
I'm  always waiting.",youtube,tunggu abdi setan im always waiting,netral
🫣🫣🫣🫣🫣🫣🫣🫣🫣🫣,youtube,,netral
Kagen hamil Ari Ari ❤,youtube,kagen hamil ari ari,netral
1:36,youtube,,netral
"Film ""Pengabdi Setan 2: Communion"" adalah sekuel dari film horor Indonesia yang sangat sukses, ""Pengabdi Setan"" (2017). Disutradarai oleh Joko Anwar, film ini melanjutkan kisah keluarga Rini setelah kejadian mengerikan di film pertama. Berikut beberapa poin penting mengenai ""Pengabdi Setan 2: Communion"":
 * Sinopsis Singkat:
   * Setelah kehilangan ibu dan adik mereka, keluarga Rini pindah ke rumah susun di pinggiran Jakarta. Mereka berharap dapat memulai hidup baru, tetapi ternyata rumah susun tersebut menyimpan rahasia mengerikan.
   * Teror dan kejadian aneh mulai menghantui mereka, dan mereka harus berjuang untuk bertahan hidup dari kekuatan jahat yang lebih kuat dari sebelumnya.
 * Pemeran Utama:
   * Tara Basro sebagai Rini
   * Endy Arfian sebagai Toni
   * Nasar Anuz sebagai Bondi
   * Bront Palarae sebagai Bapak
   * Ratu Felisha sebagai Tari
 * Fakta Menarik:
   * Film ini tayang perdana di bioskop IMAX, menjadikannya film Asia Tenggara pertama yang tayang dalam format tersebut.
   * Lokasi pengambilan gambar dilakukan di rumah susun yang sudah lama kosong, sehingga menambah kesan horor dalam film.
   * Film ini mendapatkan respon yang sangat positif dari para pecinta film horor di indonesia.
 * Tema:
   * Film ini mengeksplorasi tema-tema seperti keluarga, kehilangan, dan perjuangan melawan kekuatan jahat.
   * Joko Anwar dikenal karena kemampuannya dalam menciptakan atmosfer horor yang mencekam dan penuh ketegangan.
 * Informasi tambahan:
   * Film ini dirilis di bioskop pada 4 Agustus 2022.
   * Film ini juga dapat disaksikan di layanan streaming Disney+ Hotstar.",youtube,film abdi setan communion sekuel film horor indonesia sukses abdi setan sutradara joko anwar film lanjut kisah keluarga rini jadi keri film poin abdi setan communion sinopsis singkat hilang adik keluarga rini pindah rumah susun pinggir jakarta harap hidup rumah susun simpan rahasia keri teror jadi aneh hantu juang tahan hidup kuat jahat kuat per utama tara basro rini endy arfian ton nasar anuz bondi bront palarae ratu felisha tari fakta tarik film tayang perdana bioskop imax jadi film asia tenggara tayang format lokasi ambil gambar rumah susun kosong tambah kesan horor film film respon positif cinta film horor indonesia tema film eksplorasi tematema keluarga hilang juang lawan kuat jahat joko anwar kenal mampu cipta atmosfer horor cekam penuh tegang informasi tambah film rilis bioskop agustus film saksi layan streaming disney hotstar,netral
Film membangongkan gk jelas dan banyak gelapnya.setan ocongnya pun sekali muncul saja.mengecewakan.moga PS 3.lebih seru dari PS 1 DAN 2.TY,youtube,film membangongkan gk gelapnyasetan ocongnya muncul sajamengecewakanmoga ps seru ps ty,netral
"kapan lagi ni ps3
uda 3th loh",youtube,ni ps uda th loh,netral
Agus sedih banget⁵,youtube,agus sedih banget,netral
0:34 0:35 0:36 0:36 0:36 0:37 0:37 0:37 🎉🎉❤😮😂😅😊,youtube,,netral
Pak ustadz nya mati mulu njirr kalah ama setan 😭😭😭,youtube,ustadz nya mati mulu njirr kalah ama setan,netral
Gilaa ini kerennn bangetttt dlu udh pernah nontonnn,youtube,gilaa kerennn bangetttt dlu udh nontonnn,positif
1:13,youtube,,netral
TAKODT,youtube,takodt,netral
takost,youtube,takost,netral
"Gue masih ga rela karakter bapak si bikin meninggal, bapak gitu2 sayang sama anak2.. gus nangis banget ih KENAPA SIH!!😭😭",youtube,gue ga rela karakter si bikin tinggal gitu sayang anak gus nang banget ih sih,netral
"Kenapa sih bapak harus mati
Padahal kan bapak ayah yang baik😢",youtube,sih mati ayah,netral
Ci vilmei,youtube,ci vilmei,netral
"Mengumpulkan niat bertahun2 utk menonton film indonesia dan  trnyata ok lah bagus mix insidious hereditary dn film stephen king.. Pengmbiln gmbr pnchayaan bagus karakter dn kostum jg oke kyk stranger things sy suka set ny jadul2 gini cuma kurang aksi kejar2an yang menggelitik perut wkwk hantunya ga jls kelihatan jd ga deg2an gmb gitu scr cerita sdh rumit dn dalam
Untuk kematian sadis2nya mending ditambah lg krn mnurutku film2 spt hereditary atau stephen king menang di disturbing scene nya
Kalo seram sih kagak seram.. Cuma agak disturbing gt tp msh kurang jg disturbing nya :/

Di PS3 nanti harus lebih byk menceritakan si B dan D dari dunia dan kelompok mana gak trllu greget kalo mereka hanya iblis biasa dan wisnu dn prbyk disturbing scene dibandingkan jumpscare...tdk usah masalah bapak dan ibu yg pengen punya anak mkny pk pesugihan",youtube,kumpul niat tahun utk tonton film indonesia trnyata ok bagus mix insidious hereditary dn film stephen king pengmbiln gmbr pnchayaan bagus karakter dn kostum jg oke kyk stranger things sy suka set ny jadul gin aksi kejar gelitik perut wkwk hantu ga jls jd ga degan gmb gitu scr cerita sdh rumit dn mati sadis mending tambah lg krn mnurutku film spt hereditary stephen king menang disturbing scene nya kalo seram sih kagak seram disturbing gt tp msh jg disturbing nya ps byk cerita si b d dunia kelompok gak trllu greget kalo iblis wisnu dn prbyk disturbing scene banding jumpscaretdk yg ken anak mkny pk sugih,positif
bagusss bgt,youtube,bagusss bgt,positif
B aja,youtube,b aja,netral
udah 2 tahun aja oii,youtube,udah aja oii,netral
Hdg,youtube,hdg,netral
"If you're looking for an English comment, here it is",youtube,if youre looking for an english comment here it is,netral
Bener kan?,youtube,bener,netral
Ps3 udah rilis di 2006,youtube,ps udah rilis,netral
@FribadiAfz-bri  haha,youtube,fribadiafzbri haha,netral
Moga-moga kedepanya bisa krosover sama film qodrat biar ustadz op walau beda studio tapikan masi satu ph,youtube,mogamoga depa krosover film qodrat biar ustadz op beda studio tapi mas ph,netral
​ @m.naufalfirdanit6477  jelek ntar film nya,youtube,mnaufalfirdanit jelek ntar film nya,negatif
Rekomendasi film horor luar dong bangg,youtube,rekomendasi film horor bangg,netral
I'm looking for review,youtube,im looking for review,netral
same same,youtube,same same,netral
"Un film du déjà vu, tu met une robe blanche sur une dépressive, et ta ton film d'horreur.",youtube,un film du dj vu tu met une robe blanche sur une dpressive et ta ton film dhorreur,netral
Di tunggu s3 nyaa?,youtube,tunggu s nyaa,netral
🥶🔥✨omg,youtube,omg,netral
"Xmxmmxk
X
X",youtube,xmxmmxk x x,netral
I kove this movie,youtube,i kove this movie,netral
On which website its available?,youtube,on which website its available,netral
Ayo kapan nih pengabdi setan 3 dibikin???kita lgi nunggu rilisnya loh....,youtube,ayo nih abdi setan dibikinkita lgi nunggu rilis loh,netral
"Yg gw Gak suka film2 indonesia,dialognya berasa banget baca teks",youtube,yg gw gak suka film indonesiadialognya asa banget baca teks,positif
BRING BACK TARI,youtube,bring back tari,netral
Seru gilaa,youtube,seru gilaa,netral
FILM YG MELECEHKAN AGAMA!! SEMOGA ADA YG LAPORIN KE BARESKRIM POLRI,youtube,film yg leceh agama moga yg laporin bareskrim polri,netral
kerenn bgt nih film takut nontonnya tapi akhirnya nonton jugaa,youtube,kerenn bgt nih film takut nontonnya nonton jugaa,positif
gila bagus banget filmnya i love karyanya bang joko anwar,youtube,gila bagus banget film i love karya bang joko anwar,positif
Kalo ada pengabdi setan 3 mau nonton lagi❤,youtube,kalo abdi setan nonton,netral
Film udah 2 tahun lalu tapi cari yg full sulit amat ..banyak reaction doank...,youtube,film udah cari yg full sulit reaction doank,netral
Ihh takut nya🗿🗿,youtube,ihh takut nya,netral
Intro pas semua mayat di sujudin asli serem banget cok,youtube,intro pas mayat sujudin asli rem banget cok,netral
"Overrated, yang pertama aja nggak seram",youtube,overrated aja nggak seram,positif
"Sumpah film ini dari awal kita ga dikasih nafas, tegang terus
Keluar dr bioskop, apalagi yg IMAX, beuhh lemes, energi udh terkuras habis pas nonton, mantap deh filmnya",youtube,sumpah film ga kasih nafas tegang dr bioskop yg imax beuhh lemes energi udh kuras habis pas nonton mantap deh film,positif
"PS2 is more better than 1. Flat yg diorg berlakon tu seram weh. Mmg meremang tengok suasana time takde elektrik tu. Ok, cite ni x seram pun, cuma byk jump scares. Part yg Tari tu menyorok dkt tempat buang sampah, sumpah creepy. Dah la sempit ade hantu pulak😩 Lagi 1 part yg laki tu baling kain putih dkt air tu tetiba melayang balik ke dia. Fuhhh meremang weh. Ok next knp la Bront Palare punya scene x byk😅 Sepatutnya buat la dia main character. Dia punya watak mcm tkde function je, hujung³ baru muncul. Ending dia x faham sgt. Sape dua orang laki & pompuan yg menari dlm rumah tu. Hantu ke manusia? Hope ada la PS3 pulak. 7.8/10💥",youtube,ps is more better than flat yg diorg lakon tu seram weh mmg remang tengok suasana time takde elektrik tu ok cite ni x seram byk jump scares part yg tari tu sorok dkt buang sampah sumpah creepy dah la sempit ade hantu pulak part yg laki tu baling kain putih dkt air tu tetiba layang fuhhh remang weh ok next knp la bront palare scene x byk patut la main character watak mcm tkde function je hujung muncul ending x faham sgt sape orang laki pompuan yg tari dlm rumah tu hantu manusia hope la ps pulak,positif
she's not depressed... she's pure evil..,youtube,shes not depressed shes pure evil,netral
Netflix,youtube,netflix,netral
YES SHE SO ATTRACTIVE OMG,youtube,yes she so attractive omg,netral
"Buset santai pak ini cuman film, bapak2 aneh😅",youtube,buset santai cuman film aneh,netral
Si mabok agama 😂,youtube,si mabok agama,netral
"Wkwk masih belum nonton juga, gw udah ratusan kali nonton di bioskop dan punya video fullnya di galeri😅",youtube,wkwk nonton gw udah ratus kali nonton bioskop video fullnya galeri,netral
 @earthquakevideoworld1899  bagi link donk bro..,youtube,earthquakevideoworld link donk bro,netral
yang Full di Disney . berlangganan dong jgn mau yg gratis aja 😂,youtube,full disney langgan jgn yg gratis aja,netral
Di dailymotion aja nntony,youtube,dailymotion aja nntony,netral
ditunggu Pengabdi Setan 3 ❤❤❤,youtube,tunggu abdi setan,netral
Film serem banget 😂,youtube,film rem banget,netral
Film horor paling bagus 😭saking bagusnya mau nonton lagi ga berani 😭,youtube,film horor bagus saking bagus nonton ga berani,positif
"Gua dtg ke sini krna barusan udah nonton di televisi, blm habis film nya kira"" udah 40 menitan gua nonton, gua bela""in ke sini mau komen karna Film nya kek anjing gx jelas taik.. no debat gx jelas film nya. sorot nya gx jelas kontrasnya look nya asal asalan gx jelas. nonton ini bukan tegang tp emosi, amatir banget. no debat. itu hak gua komentar.",youtube,gua dtg krna barusan udah nonton televisi blm habis film nya udah menit gua nonton gua bain komen karna film nya kek anjing gx taik no debat gx film nya sorot nya gx kontras look nya asal gx nonton tegang tp emosi amatir banget no debat hak gua komentar,netral
Joko Anwar mmngg terdebestt siiihh film² nyaa,youtube,joko anwar mmngg terdebestt siiihh film nyaa,netral
Bang  ceritain  waktu  maghrib  bang,youtube,bang ceritain maghrib bang,netral
continental breakfast,youtube,continental breakfast,netral
ini film bagus bgt sungguh,youtube,film bagus bgt sungguh,positif
"ᴛᴇʀᴏʀ ɪʙʟɪs ʀᴀᴍɪɴᴏᴍ ʏɢ sᴅɢ ᴍᴇɴᴄᴀʀɪ ᴡᴀᴅᴀᴋ ʙᴀʀᴜ, 😊
ʀᴀᴍɪɴᴏᴍ ᴀᴋᴀ ᴍᴏᴍ. ʀᴀɴɪ ᴀᴛᴀᴜ ʏɢ ᴅɪsᴇʙᴜᴛ ᴅɢɴ ɪʙᴜ ʀᴀᴛᴜ😊
sᴜɴɢɢᴜʜ ᴘʟᴏᴛ ᴛᴡɪsᴛ ʏᴀ ᴘᴇᴍɪʀsᴀ... 😂",youtube,s s s s s s,netral
Pengabdi Setan 2: Lin Ziola,youtube,abdi setan lin ziola,netral
#Lin Ziola #Pengabdi Setan 2,youtube,lin ziola abdi setan,netral
"overall top markotop film nya. cuma 1, tolong audio suara actor nya di perbagus supaya setiap kata yang keluar bisa terdengar dengan jelas",youtube,overall top markotop film nya tolong audio suara actor nya bagus dengar,positif
Wait for the next sequel,youtube,wait for the next sequel,netral
bapak sama tari... mati nya ya Allah,youtube,tari mati nya ya allah,netral
Kemarin pengabdi setan2 tayang di tv khusus tahun baru,youtube,kemarin abdi setan tayang tv khusus,netral
Anak nusuk freak😋😝😜 ibu jadi muslim😱,youtube,anak nusuk freak muslim,netral
Kapan masuk netflix ?,youtube,masuk netflix,netral
Film ini sangat populer di Bangladesh. Ini adalah film horor berbasis cerita terbaik yang pernah saya lihat. Semoga Allah melindungi kita dari kekuatan jahat,youtube,film populer bangladesh film horor bas cerita baik lihat moga allah lindung kuat jahat,netral
Where to watch in English,youtube,where to watch in english,netral
fff. cnfifjfifjiffjfifjfjfifjfgngifjffdjnsnajnginfkfjfnfifnjffjfjjffjf,youtube,fff cnfifjfifjiffjfifjfjfifjfgngifjffdjnsnajnginfkfjfnfifnjffjfjjffjf,netral
😴😴😴😴😴😴😴,youtube,,netral
Tidur aja dekk,youtube,tidur aja dekk,netral
kan ada subtitle Indonesia nya,youtube,subtitle indonesia nya,netral
​ @Erwan000 capek mata mutar bawah atas bawah atas...sdh ckup nntn film barat bgtu,youtube,erwan capek mata mutar atassdh ckup nntn film barat bgtu,netral
pengabdi setan 3 bapak bakal jdi anggota sekte,youtube,abdi setan jdi anggota sekte,netral
 @ReniLestari-tb6xi  eh pliss lu kata siapa?😢,youtube,renilestaritbxi eh pliss lu,netral
tayang di Disney doang,youtube,tayang disney doang,netral
"Thank you, you should watch another Indonesian Horror movie",youtube,thank you you should watch another indonesian horror movie,netral
WHERE WAS THE STORY? WHAT STORY? SUCK YOUR MOM,youtube,where was the story what story suck your mom,netral
​ @duaislam9477 bikin malu lu kocak,youtube,duaislam bikin malu lu kocak,netral
May god protect us bro,youtube,may god protect us bro,netral
Umm can anyone tell me where can i watch full movie please,youtube,umm can anyone tell me where can i watch full movie please,netral
DARUL Fallah,youtube,darul fallah,netral
"I really like the plot and this movie overall!! I like the Part 1 but I like this even more. Great Indonesian movie ! 👏👏

Filipino fan here.",youtube,i really like the plot and this movie overall i like the part but i like this even more great indonesian movie filipino fan here,netral
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,youtube,,netral
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,youtube,,netral
"Filmnya udah Keluar Tapi Belum sempet Nonton, seru kata temen saya min 😂

Kalo Pengabdi Setan yang pertama saya udah nonton

Tinggal yang kedua belum",youtube,film udah sempet nonton seru temen min kalo abdi setan udah nonton tinggal,netral
sumpah filmnya nggak ketebak,youtube,sumpah film nggak tebak,netral
"https://youtube.com/@youtubemoviefilm
https://youtu.be/t4l5dTko2h8",youtube,httpsyoutubecomyoutubemoviefilm httpsyoutubetldtkoh,netral
uda 1th aja,youtube,uda th aja,netral
"sekali bikin film horror gregetan bgt.

setan yg udah kontrak sama manusia kuat kuat",youtube,bikin film horror gregetan bgt setan yg udah kontrak manusia kuat kuat,netral
Any OTT platform ?,youtube,any ott platform,netral
Tara Basro👊👊👊🔥,youtube,tara basro,netral
Amo estas películas AHHH❤❤❤,youtube,amo estas pelculas ahhh,netral
"N,nn,n,n,",youtube,nnnnn,netral
Menurut analisa gw...haha..✌️..Darmina itu .. perempuan yg di adegan terakhir dansa dengan batara itu... sepertinya sosok Jelmaan si RUMINOM...  Foto  Yg di sembah² mayat² di adegan awal....  Ya kan..  telat sih gw..g apa²...dari pada tidak nonton ...🤔,youtube,analisa gwhahadarmina perempuan yg adegan dansa batara sosok jelma si ruminom foto yg sembah mayat adegan ya telat sih gwg apadari nonton,netral
Youtuber Pasang sekarang dong film bayi ajaib,youtube,youtuber pasang film bayi ajaib,netral
"Lebih serem dr yg pertama,seru",youtube,rem dr yg pertamaseru,netral
Ini film rating terbaik menurut guaaa serem sedih nya ada disini real 😢❤❤❤❤❤❤,youtube,film rating baik guaaa rem sedih nya real,netral
Bapaknya ganteng 😫,youtube,bapak ganteng,netral
"film paling sampah,,,banyak adegan gak.penting,,,, banyak adegan yg terlalu maksa...!! bisa gitu anak2 dr jarak sekian, bisa lihat ada koin yg masuk dr lubang kecil...jenazah kecelakaan maksa banget ditinggal sendiri di setiap unit...Tiba2 remaja kecil disuruh periksa jenazah di lt 13...detail yg terlalu dipaksakan, mau film atau realita juga gak akan mungkin, sangat dipaksakan sekali adegannya 😂😂😂 udah penasaran dr sekian lama bru ninton skarang, ternyata ekspektasi sangat jauh..klo rating ini mah 2/10 😂😂😂",youtube,film sampahbanyak adegan gakpenting adegan yg maksa gitu anak dr jarak sekian lihat koin yg masuk dr lubang keciljenazah celaka maksa banget tinggal unittiba remaja suruh periksa jenazah lt detail yg paksa film realita gak paksa adegan udah penasaran dr sekian bru ninton skarang ekspektasi jauhklo rating mah,netral
disney+,youtube,disney,netral
plot twist joko Anwar gila sih,youtube,plot twist joko anwar gila sih,netral
only disney+,youtube,only disney,netral
Kardeşim daha önce hiç Türk korku filmi izledin mi siccin serisini tavsiye ederim,youtube,kardeim daha nce hi trk kor film izledin mi siccin serisini tavsiye ederim,netral
"Kalau kritik tu jgn keliatan bego bgt, koin sebegitu berhamburannya udh pasti org notice, apalagi tu bocah bocah matanya masih sehat yakali ga keliatan, emang nya elu dh tua matanya Burem wkkwkw",youtube,kritik tu jgn liat bego bgt koin hambur udh org notice tu bocah bocah mata sehat yakali ga liat emang nya elu dh tua mata burem wkkwkw,netral
"Kalo film sampah kenapa banyak yang nonton, sekarang gw tanya emang nya Lo bisa buat film???",youtube,kalo film sampah nonton gw emang nya lo film,netral
" @sinarputrach4719  tolol,  knapa bnyak yg nonton karena kemakan promosi boss, aslinya begitu ditonton, filmnya gak bermutu....
gua bisa bikin film ato engga?? komen paling bego...emang polisi harus jadi maling untuk tau bagaimana cara maling bekerja??? GUA GAK HARUS BIKIN FILM UNTUK MEMILIKI EKSPEKTASI TERHADAP FILM INDONESIA AGAR BISA BERSAING..",youtube,sinarputrach tolol knapa bnyak yg nonton makan promosi boss asli tonton film gak mutu gua bikin film ato engga komen begoemang polisi maling tau maling gua gak bikin film milik ekspektasi film indonesia saing,netral
Si tony umurnya dh 21 bukan 13 thn😬,youtube,si tony umur dh thn,netral
" @veraa_ea  okelah, kecuali dlm cerita dibikin adegan klo si toni adalah karakter yg tidak percaya hantu, baru masuk akal..disuruh periksa sendirian...lah ini kelihatan banget, antara takut karena percaya hantu atau takutt karena ada orang jahat?? tidak jelas karakter yg mau dimainkan, aplgi ini indonesia, bukan amerika..klihatan dr ekspresi yh diarahkan sutradara, takut karena hantu atau tidak takut sam sekali...detailnya kurang diperhatikan..ekspresi yg ditujukan dsini hanya ekspresi terial2 gak jelas..",youtube,veraaea oke kecuali dlm cerita bikin adegan klo si ton karakter yg percaya hantu masuk akaldisuruh periksa sendiri banget takut percaya hantu takutt orang jahat karakter yg main aplgi indonesia amerikaklihatan dr ekspresi yh arah sutradara takut hantu takut sam sekalidetailnya diperhatikanekspresi yg dsini ekspresi rial gak,netral
"Kan koin sebanyak itu kalau jatuh kedengeran, jadi pas momen lift buka tau ada duit disitu ya berebut",youtube,koin jatuh kedengeran pas momen lift buka tau duit situ ya rebut,netral
" @rizalfaqihudin7408  ngerti, masalahnya yg ditu jukan adalah anak2 itu bisa ngelihat koin yg jatuh kebawah lewat lubang kecil dibawah lift..jadi bukan karena suara, tapi yg ditunjukan oleh sutradara, adalah anak itu tau ada koin dibawah lift karena mereka lihat ada koin jatuh lewat lubang kecil dengan jarak sejauh itu...
beda cerita kalo jatuh pas liftnya lg gak ada, trus orang2 yg depan lift tuh ngelihat wih ada koin yg jatuh bawah lift..tapi gak bisa diambil dan mereka lupa, baru anak2 ini ambil kesempatn...TAPI KAN ENGGA GITU DI CERITANYA...makanya gak masuk akal filmnya, minimal ada logika nya dikit walopun cuma film",youtube,rizalfaqihudin ngerti yg ditu jukan anak ngelihat koin yg jatuh bawah lubang bawah liftjadi suara yg tunjuk sutradara anak tau koin bawah lift lihat koin jatuh lubang jarak beda cerita kalo jatuh pas lift lg gak trus orang yg lift tuh ngelihat wih koin yg jatuh lifttapi gak ambil lupa anak ambil kesempatntapi engga gitu ceritanyamakanya gak masuk akal film minimal logika nya dikit walopun film,netral
"Santai guys, dia seleranya film horor murahan yg nostop jumpscere wkwk",youtube,santai guys selera film horor murah yg nostop jumpscere wkwk,netral
Eh iya bru ngeh gw yg mslh koin itu... Tp klo mslh disruh cek jenazah ya mgkn krn itu ustad yg mengajarkn bhwa toni ga blh takut ma hantu gt mkny dia memaksakan,youtube,eh iya bru ngeh gw yg mslh koin tp klo mslh disruh cek jenazah ya mgkn krn ustad yg mengajarkn bhwa ton ga blh takut ma hantu gt mkny paksa,netral
Pemainnya msin sma 😊,youtube,main msin sma,netral
Org beragama di film kenapa di bikin lemah sekali,youtube,org agama film bikin lemah,netral
Wizz anying,youtube,wizz anying,netral
lagi dong pengabdi setan 3,youtube,abdi setan,netral
"Wkwk hantunya goblok,  yg di bunuh malah yg gak tau apa apa.  Pembunuhnya malah di biar bebas",youtube,wkwk hantu goblok yg bunuh yg gak tau bunuh biar bebas,netral
Udah 9 bln berlalu dan msh mampir kesini karena trailernya mantap,youtube,udah bln msh mampir kesini trailer mantap,positif
